scraproduct_name,product_price,product_rating
Spicy Tapioca Chips (500 Grams)  (WINTER CARNIVAL),5.00,4.22
MAGGI INSTANT NOODLES,6.00,5.00
Serunding – Savoury Beef Floss,5.00,5.00
BUDU KETEREH (FERMENTED FISH SAUCE) By Kamil Ibrahim Enterprise 100 gm,1.80,0
SHARIFAH’S ‘READY TO EAT’ MALAYSIAN DELICACIES RANGE by RHB Jaya Enterprise,4.30,0
Original Black Horse Vital Honey,45.00,1.00
KEMBARA READY-TO-EAT MEAL (SELF HEATING) by Hannan Q Enterprise (Pack of 2),8.80,0
‘KREPEKLICIOUSZ’ KREPEK (CHIPS – Krepek Ubi Pedas Basah (Spicy And Moist Tapioca Chips) – 500g) By SMD Food Empire,5.00,0
Keropok – Crispy Fish Crackers,15.00,5.00
‘MELTS IN YOUR MOUTH’ TRADITIONAL KUIH BANGKIT (BANGKIT BISCUITS) by Mariam HS Food,4.00,5.00
MILO Powder 1Kg  (WINTER CARNIVAL),5.50,5.00
Beef Serunding Asli Kampung Laut (250 Grams)  (WINTER CARNIVAL),5.00,4.50
Dried Fish Crackers (Keropok) Terengganu,5.00,2.00
BRIYANI RICE WITH BEEF By Koperasi Keluarga Raja Samah Bhd (Koras Bhd),5.50,0
MAGGI INSTANT NOODLES 500g  (WINTER CARNIVAL),3.00,5.00
SAVOURY AND SPICY MURUKKU by Hartineys,2.00,0
BRIYANI RICE WITH MUTTON By  Koperasi Keluarga Raja Samah Bhd (Koras Bhd),6.00,0
‘ADUCKTIVE’ ORIGINAL SALTED EGG CORNFLAKES By UV Legacy,3.00,0
Dried Fish Crackers (500 Grams)  (WINTER CARNIVAL),5.00,4.60
Pineapple Tarts (400 Grams)  (WINTER CARNIVAL),4.20,4.33
‘PETANI’ HEALTH & VITALITY CAPSULES FOR  WOMEN By Syarikat Zulkifli Bamadhaj Sdn Bhd,5.00,0
Dried Anchovies (Premium Grade A – Peeled and Cleaned) 500g,9.00,5.00
‘BONDA’ CHICKEN SERUNDING ASLI KAMPUNG LAUT By SERAYA GARAGE ENTERPRISE,5.00,5.00
Kunyit Hitam (Black Ginger) – [Kaempferia parviflora],29.00,5.00
‘Yatie Confectionery’ Pineapple Tarts,4.70,0
Nestle’s Nestum All Family Cereal Original 500g  (WINTER CARNIVAL),4.00,5.00
” PIPIT ” COOKIES DELIGHT ‘PINEAPPLE TARTS’ By Pipit Patisserie & Cafe,6.00,0
KEROPOK TOK MUNGG (FISH CRISPS) By SLA Legacy,4.00,0
Sizzling Yee Mee Paste (150 Grams)  (WINTER CARNIVAL),3.00,3.00
Niza’s Creation Pineapple Tarts,6.00,0
MADU TUALANG ASLI 💯,16.00,0
‘Resepi Masyai’ Beef Dendeng (Dendeng Daging),6.60,0
Asam Laksa Paste,3.30,4.00
The Paru Chips,6.00,0
‘CIK PUTEH’ COOKIES AND CHOCOLATE GALORE – Crunchy Chocolate Chips By Shipuden Oshin,3.00,0
BUDU IN TUBE By Kamil Ibrahim Enterprise,1.50,0
Traditional Malaysian Pineapple Tarts,10.80,5.00
Dendeng Opah Awesome (UK Stock),10.00,0
"Pandan Leaf Extract Liquid Concentrate for Baking & Beverage, 60 Grams",2.95,5.00
ROYAL FLOSS SERUNDING IKAN/ AYAM/ DAGING (FISH FLOSS / CHICKEN FLOSS / MEAT FLOSS) By Sambal Go Trading (Pack of 3),12.00,5.00
GUMASH WUDHU COMPLIANCE HAIR COLOUR  – DARK BROWN,22.65,0
Rich Coconut Rice With Chicken In Red Curry (400 Grams)  (WINTER CARNIVAL),5.00,4.50
Organic Soursop Leaf Tea (30 tea sachets per box),10.00,0
‘Vias’ Spicy Fermented Durian Sauce (Tempoyak Chilli),10.00,0
Fudloker Gourmet ‘Have Sambal’,4.00,5.00
‘ORIKEL’ TEH TARIK (3 IN 1 PREMIUM INSTANT MILK TEA) By Mygerak Global Sdn Bhd,3.00,0
BRAHIM’S ‘READY TO EAT’ GRAVY DELICACIES  by RS Tijara Resources (Choice Of 3 – Each pack is 180g),9.00,0
GUMASH WUDHU COMPLIANCE HAIR COLOUR – CHESTNUT,22.65,0
DELICIOUS KELANTANESE SERUNDING BY HARTINEYS,7.00,0
MEXBLU Habbatus Sauda 400mg Nigella Sativa,1.50,0
Dried Anchovy Sambal – Spicy Chilli Jam,8.00,5.00
Oleh Elona Amazing Balm 25g,12.00,0
‘BONDA’ SERUNDING ASLI KAMPUNG LAUT(MEAT/CHICKEN/FISH FLOSS) By SERAYA GARAGE ENTERPRISE (All 3 Flavours),15.00,0
Adabi Spices – Kurma/Kerutuk/Rendang/Kari 250gm,2.80,0
Salted Egg Paste (100 Grams)  (WINTER CARNIVAL),4.00,3.00
Sayha Spicy Sambal,4.99,0
‘Adia’  Rich Coconut Rice With Anchovies Sauce (Ready-To- Eat),4.00,0
‘Pilah’ Smoked Catfish (Keli Salai),3.40,0
‘Vintage’ Nasi Dagang Kit (Original Terengganu Taste),7.00,0
Premium Hot Tom Yam Paste,3.50,0
‘Dappo’ Salted Egg Paste,4.00,0
‘Kembara’ Lamb Kuzi (Curry) With Rainbow Rice,8.80,0
NekNor Premium Pineapple Fruit Jam Low Sugar 195g,2.00,0
‘TRAVELLA’ NASI LEMAK CHICKEN RENDANG (R-T-E) By Tapao Foods Enterprise (UK Stock),8.00,0
‘Cik Yut’ Asam Pedas Paste,3.50,0
SUJI (SEMOLINA) COOKIES,7.00,0
KOREAN TTEOK & MALAYSIAN CHICKEN RENDANG,1.99,0
Salted Egg Paste,4.00,5.00
NOUR’S CHICKIN CRISPY CHICKEN SKIN,6.00,0
SPICES By DK F&B Solution (Choose any 3),9.00,0
‘SS’ PEKASAM DAGING ORI (FERMENTED BEEF WITH HERBS) By Sarudin Bin Sahak (Pack of 3),6.00,0
‘SNUGFOOD’ HOKKIEN MEE (PENANG PRAWN NOODLE) PASTE 200G,6.00,0
‘DENDENG STATION’ DAGING DENDENG (BEEF JERKY) By Dendeng Station,12.00,0
HELIZ ‘HOUSE OF COOKIES’ (PINEAPPLE TART) By Hazs Dagangan,7.00,0
MULTAN FACE SOAP BAR By Guzel Valley Venture,1.50,0
‘CRUNCHY’ BAKEDFLAKES By SHS Ventures (Pack of 2),25.00,0
‘Bioestica’ ORGANIC HAND SANITIZER by Budi Tujuh Marketing,3.20,0
DELICIOUS KIMCHI by Dapur Ahjumma (3 Pack of 250G),6.00,0
MALAYSIAN CRISP FISH SKIN WITH SALTED EGG BY RMF NETWORK (Sold in Packets of 3),10.00,0
Healthy Instant Bird’s Nest Drink (Zara Agnes) by HCCF ENTERPRISE (Pack of 6 bottles),50.00,5.00
Dapur Ahjumma: White Radish Kimchi (Pack of 3),6.00,0
CRUNCHY MURUKKU by Bakeman (2 Jars of 420g),16.00,0
‘RBBFOOD’ Kerepek Ubi Masin (Salted Tapioca Chips – 250 Gram +/-),5.00,0
Hokkien Mee Paste (200 Grams)  (WINTER CARNIVAL),6.00,5.00
Instant Rendang Sauce (200 Grams)   (WINTER CARNIVAL),3.90,5.00
Spicy Sauce Dried Anchovies,3.00,3.00
Collagen White Extra – CrystalPure,19.00,0
ROYAL FLOSS SERUNDING IKAN/ AYAM/ DAGING (FISH FLOSS / CHICKEN FLOSS / MEAT FLOSS) By Sambal Go Trading (Pack of 3) (UK Stock),12.00,0
NIQAB BUTTERFLY DINSYIRAHQUEENN,34.98,0
Pineapple Tart,4.00,0
‘ADUCKTIVE’ SPICY SALTED EGG CORNFLAKES By UV Legacy,3.00,0
‘FMAS’ TELEKUNG LABUH RIZJLAH (PRAYER OUTFIT – White set) By Fmas Enterprise,18.00,3.00
DRIED ANCHOVY PREMIUM QUALITY (MATA BIRU – MALAYSIAN) BY Green Legacy Care Enterprise (250g Pack),5.00,0
‘mySOUL’ ROSE OIL 4-IN-1 TRAVEL SET By MSOUL Enterprise,7.00,5.00
‘SENI PATISSERIE PLT’ KEK LAPIS PRUNE (PRUNE LAYERED CAKE) By Seni Patisserie PLT,9.60,0
‘FZ SKINCARE’ BIDARA HIJAB MINTHE BY FZ Skincare Beauty & Health,12.00,0
‘BAYU KELULUT’ STINGLESS BEE HONEY By Bayu Kelulut Smart Digital Farm,19.00,0
ZATY’s HOMEMADE TRADITIONAL SAMBAL RANGE by Zati D Hati,6.00,0
SUPERLIGHT MINERAL FOUNDATION BY ABSOLUTE (contains 100% Organic Rose Hip Oil),17.00,0
CRUNCHY MALAYSIAN FISH CRACKERS (Keropok) By ANUARISME RESOURCES,6.00,0
Absolutely Flawless Foundation By Ayshaa,18.00,0
‘SAYHA KITCHEN’ Spicy Sauce (Sambal) (250 Grams)  (WINTER CARNIVAL),5.00,4.75
Dried Anchovies In Spicy Sauce (Sambal Ikan Bilis Merecik),5.00,0
Crunchy And Spicy Fried Anchovies,3.08,4.00
Halal Crispy Banana Fritters Mix By Opulence Global,1.90,0
MinZa Aromatherapy and Botanical Shower Gel (Gel Mandian),6.00,4.50
"Pure Honey Trio Set – Kelulut, Tualang & Gelam",105.00,0
QALIFAH ARAB RICE KIT,6.00,0
‘KRUK KRAP’ Sea Shell Snack,4.00,0
AYUDIA NINJA,16.46,0
MasH Cookies – Chocolate Chip Cookies,7.00,5.00
‘Carini’ Kamheong Paste (Ready-To-Cook),3.50,0
Mount Kinabalu Coffee (Ground Coffee),5.00,0
Crispy Homemade Mushroom Crisp,2.50,0
Sambal NekNor  (Spicy Sauce),2.50,0
Spicy Crunchy Langkawi Anchovies,4.50,0
MARIA D’TEMPO (Tempoyak -Fermented Durian),10.00,0
PERENCAH ISTIMEWA CHAR KUEY TEOW (CHAR KUEY TEOW SAUCE MIX)  By Kaw Kaw Licious Enterprise,8.00,0
‘CIK PUTEH’ COOKIES AND CHOCOLATE GALORE – Tart Nenas Godang (Pineapple Tart) By Shipuden Oshin,4.00,0
LITTLE MUSLIM BUSY BOOK – FUN ACTIVITY BOOK FOR KIDS By Kamil Ibrahim Enterprise,16.00,0
REHAN Rempah Sup [Soup Spices] By Rehan Food Global Sdn Bhd (1 box = 8 packs),8.00,0
‘Klappers  Co’ COCO-ROSE HAIR MASK By Klappers Naturals,11.00,0
SAMBAL PARU KAK KEK (COW’S OFFAL IN SPICY SAUCE) by Asianketo Enterprise,10.00,0
GOLDEN TANI (STINGLESS BEE HONEY) – 200g By Rizzue Enterprise,13.00,0
‘FMAS’ TELEKUNG LABUH RIZJLAH (PRAYER OUTFIT – Black set) By Fmas Enterprise,18.00,0
‘BLICIOUS’ BIZRAANIE’S ASSORTMENT OF BISCUITS AND COOKIES By BIZRAANIE ENTERPRISE,10.00,0
‘Chilli’o’  SOS CILI AND SOS CILI BAWANG PUTIH (CHILLI AND CHILLI GARLIC SAUCE) By Ace Jaya Enterprise (Both Flavours),1.40,5.00
‘TERENGGANU PIOR’ KEROPOK KEPING (FISH CRACKERS FROM TERENGGANU) By Gem Ocean Enterprise,15.00,0
MEAT/CHICKEN FLOSS (SERUNDING KAKNGAH – 500G) By Legasi ABR Delima Enterprise,10.80,0
CF Sambal Cili Padi (Bird’s Eye Chilli Sauce),4.00,0
TART LANDAK (LATTICED PINEAPPLE TART) By Darr Nasa Enterprise (Pack of 2 – 250g x 2),11.20,0
‘ASIAN TASTE’ PASTES By SD Impex Sdn Bhd (Pack of 5),5.00,0
REHAN Pes Rendang Rembau [Rendang Paste] By Rehan Global Food Sdn Bhd (1 box = 6 packs),10.00,0
‘SILVER ALAM’ AROMATIC HABBATUS SAUDA 3 IN 1 PREMIX (COFFEE/CHOCOLATE/SOY OAT) by Yippie Enterprise Sdn Bhd  (Each Pack is 330g),5.00,0
SKIN COCONUT MOISTURIZER WITH TEA TREE OIL by TROPIKA OEM SDN BHD,9.99,0
RENDANG MAMAN PAKLONG By FZI Megah Resources (3 Pack of 200G),9.00,0
DRIED MALAYSIAN ‘PANGKOR ANCHOVIES’ BY Pangkor Anchovies Enterprise,14.00,0
NATURAL BODY LOTION CHAMOMILE,10.50,0
BABY HERBAL CREAM – Virgin Coconut Oil Base,8.50,0
Baby Hair and Body Oil Lavender (100ml),9.00,0
TASTY MALAYSIAN MADE COOKIES By Matahari Resources,3.40,0
NATURALLY SCENTED HEDO AIR FRESHENER by Blanco Global (Choice of 3),11.40,0
Salted Fish Sambal Cik Midah,25.30,0
Che’Nor Sambal Penyet (Spicy Sauce),4.73,0
‘Bestari’ Crispy Fried Chicken Coating Mix (1kg),4.00,0
MinZa Massage Oil ~ Mild Sensation,9.00,0
‘AgroMas’ Honey Coconut Jam (Seri Kaya Madu) 450g,2.00,0
BRIYANI RICE WITH BEEF By Koperasi Keluarga Raja Samah Bhd (Koras Bhd) (UK Stock),9.50,0
ICHINTA SAMBAL PETAI/ SAMBAL HITAM PETAI/ ASAM PEDAS (TWISTED CLUSTER BEAN SAUCE/ TWISTED CLUSTER BEAN IN BLACK SAUCE/SPICY AND SOUR SAUCE) By Ichinta Dot Com (Pack of 3 Flavours) (UK STOCK)),12.37,3.00
HennaDEAZ  Organic Henna Eyebrow Tint,13.00,0
Daging Dendeng D’Astana (Beef Jerky),4.00,0
‘KREPEKLICIOUSZ’ KREPEK (CHIPS -Kerepek Pisang Tanduk Masin (Banana Chips) – 500g) By SMD Food Empire,6.00,0
‘BONDA’ FISH SERUNDING ASLI KAMPUNG LAUT By SERAYA GARAGE ENTERPRISE,5.00,0
Magic Lipstick 24k Gold Paper By Papier-Mache. co,8.00,0
‘EATME’ MALAYSIAN COOKIE TREATS – Pineapple Cheese Tart By Eatme By AJ Enterprise,8.00,0
‘nu-caffe’ PERFORMAN  By Biotropics Malaysia Berhad,10.00,0
‘PETANI’ HEALTH & VITALITY BEVERAGE FOR WOMEN By Syarikat Zulkifli Bamadhaj Sdn Bhd,3.40,0
THE PRISTINE MAWAR (ROSE WATER MIST) By DK F&B Solution (Pack of 5),9.00,0
‘KUDAP STATION’ STEAMED FRUIT CAKE By KUDAP STATION,6.00,0
TRADITIONAL KUIH KARAS by Zularis Enterprise,3.20,0
SAMBAL JAHEK HITAM (SPICY BLACK SAUCE) By Jahek Global (Pack of 2),6.00,0
‘ ACIK ‘ NEK DAH RENDANG PASTE (RENDANG MINANG PASTE/ RENDANG TOK PASTE) By Restoran Acik (Both Flavours),2.00,0
